date,city,temperature
2/11/2012,San Francisco,52.3
2/11/2012,Austin,44.9
2/12/2012,New York,29.7
2/12/2012,San Francisco,50.1
2/12/2012,Austin,36.5
2/13/2012,New York,33.1
2/13/2012,San Francisco,49.5
2/13/2012,Austin,44.8
2/14/2012,New York,39.6
2/14/2012,San Francisco,48.6
2/14/2012,Austin,52.3
2/15/2012,New York,42.3
2/15/2012,San Francisco,49.9
2/15/2012,Austin,68
2/16/2012,New York,39.7
2/16/2012,San Francisco,52.4
2/16/2012,Austin,54.6
2/17/2012,New York,46
2/17/2012,San Francisco,49.9
2/17/2012,Austin,53.8
2/18/2012,New York,41.2
2/18/2012,San Francisco,51.6
2/18/2012,Austin,56.2
2/19/2012,New York,39.8
2/19/2012,San Francisco,47.8
2/19/2012,Austin,50.8
2/20/2012,New York,38.1
2/20/2012,San Francisco,48.7
2/20/2012,Austin,53
2/21/2012,New York,37.1
2/21/2012,San Francisco,49.7
2/21/2012,Austin,61
2/22/2012,New York,45.5
2/22/2012,San Francisco,53.4
2/22/2012,Austin,68.8
2/23/2012,New York,50.6
2/23/2012,San Francisco,54.1
2/23/2012,Austin,69.4
2/24/2012,New York,42.7
2/24/2012,San Francisco,55.9
2/24/2012,Austin,59.3
2/25/2012,New York,42.6
2/25/2012,San Francisco,51.7
2/25/2012,Austin,47.2
2/26/2012,New York,36.9
2/26/2012,San Francisco,47.7
2/26/2012,Austin,47.7
2/27/2012,New York,40.9
2/27/2012,San Francisco,45.4
2/27/2012,Austin,61.9
2/28/2012,New York,45.9
2/28/2012,San Francisco,47
2/28/2012,Austin,67.2
2/29/2012,New York,40.7
2/29/2012,San Francisco,49.8
2/29/2012,Austin,70.1
3/1/2012,New York,41.3
3/1/2012,San Francisco,48.9
3/1/2012,Austin,62.1
3/2/2012,New York,36.8
3/2/2012,San Francisco,48.1
3/2/2012,Austin,72.7
3/3/2012,New York,47.6
3/3/2012,San Francisco,50.7
3/3/2012,Austin,59
3/4/2012,New York,44.2
3/4/2012,San Francisco,55
3/4/2012,Austin,51.8
3/5/2012,New York,38.5
3/5/2012,San Francisco,48.8
3/5/2012,Austin,55
3/6/2012,New York,32.9
3/6/2012,San Francisco,48.4
3/6/2012,Austin,61.8
3/7/2012,New York,43.3
3/7/2012,San Francisco,49.9
3/7/2012,Austin,67.1
3/8/2012,New York,51.2
3/8/2012,San Francisco,49.2
3/8/2012,Austin,72
3/9/2012,New York,47.8
3/9/2012,San Francisco,51.7
3/9/2012,Austin,46.4
3/10/2012,New York,37.2
3/10/2012,San Francisco,49.3
3/10/2012,Austin,46.7
3/11/2012,New York,42.9
3/11/2012,San Francisco,50
3/11/2012,Austin,56.9
3/12/2012,New York,48.8
3/12/2012,San Francisco,48.6
3/12/2012,Austin,61.9
3/13/2012,New York,52.6
3/13/2012,San Francisco,53.9
3/13/2012,Austin,68.8
3/14/2012,New York,60.5
3/14/2012,San Francisco,55.2
3/14/2012,Austin,71.9
3/15/2012,New York,47.2
3/15/2012,San Francisco,55.9
3/15/2012,Austin,72
3/16/2012,New York,44.7
3/16/2012,San Francisco,54.6
3/16/2012,Austin,72.5
3/17/2012,New York,48.2
3/17/2012,San Francisco,48.2
3/17/2012,Austin,71.7
3/18/2012,New York,48.2
3/18/2012,San Francisco,47.1
3/18/2012,Austin,71.1
3/19/2012,New York,53.1
3/19/2012,San Francisco,45.8
3/19/2012,Austin,73
3/20/2012,New York,57.8
3/20/2012,San Francisco,49.7
3/20/2012,Austin,63.8
3/21/2012,New York,57.5
3/21/2012,San Francisco,51.4
3/21/2012,Austin,60
3/22/2012,New York,57.3
3/22/2012,San Francisco,51.4
3/22/2012,Austin,62.3
3/23/2012,New York,61.7
3/23/2012,San Francisco,48.4
3/23/2012,Austin,61.1
3/24/2012,New York,55.8
3/24/2012,San Francisco,49
3/24/2012,Austin,62
3/25/2012,New York,48.4
3/25/2012,San Francisco,46.4
3/25/2012,Austin,64.6
3/26/2012,New York,49.8
3/26/2012,San Francisco,49.7
3/26/2012,Austin,66
3/27/2012,New York,39.6
3/27/2012,San Francisco,54.1
3/27/2012,Austin,65.8
3/28/2012,New York,49.7
3/28/2012,San Francisco,54.6
3/28/2012,Austin,69.2
3/29/2012,New York,56.8
3/29/2012,San Francisco,52.3
3/29/2012,Austin,69.5
3/30/2012,New York,46.5
3/30/2012,San Francisco,54.5
3/30/2012,Austin,73.5
3/31/2012,New York,42.2
3/31/2012,San Francisco,56.2
3/31/2012,Austin,73.9
4/1/2012,New York,45.3
4/1/2012,San Francisco,51.1
4/1/2012,Austin,75.3
4/2/2012,New York,48.1
4/2/2012,San Francisco,50.5
4/2/2012,Austin,75.4
4/3/2012,New York,51.2
4/3/2012,San Francisco,52.2
4/3/2012,Austin,77.3
4/4/2012,New York,61
4/4/2012,San Francisco,50.6
4/4/2012,Austin,67
4/5/2012,New York,50.7
4/5/2012,San Francisco,47.9
4/5/2012,Austin,71.1
4/6/2012,New York,48
4/6/2012,San Francisco,47.4
4/6/2012,Austin,70.4
4/7/2012,New York,51.1
4/7/2012,San Francisco,49.4
4/7/2012,Austin,73.6
4/8/2012,New York,55.7
4/8/2012,San Francisco,50
4/8/2012,Austin,71.1
4/9/2012,New York,58.3
4/9/2012,San Francisco,51.3
4/9/2012,Austin,70
4/10/2012,New York,55
4/10/2012,San Francisco,53.8
4/10/2012,Austin,69
4/11/2012,New York,49
4/11/2012,San Francisco,52.9
4/11/2012,Austin,69.2
4/12/2012,New York,51.7
4/12/2012,San Francisco,53.9
4/12/2012,Austin,74.5
4/13/2012,New York,53.1
4/13/2012,San Francisco,50.2
4/13/2012,Austin,73.4
4/14/2012,New York,55.2
4/14/2012,San Francisco,50.9
4/14/2012,Austin,76
4/15/2012,New York,62.3
4/15/2012,San Francisco,51.5
4/15/2012,Austin,74.5
4/16/2012,New York,62.9
4/16/2012,San Francisco,51.9
4/16/2012,Austin,63.6
4/17/2012,New York,69.3
4/17/2012,San Francisco,53.2
4/17/2012,Austin,67.3
4/18/2012,New York,59
4/18/2012,San Francisco,53
4/18/2012,Austin,65.1
4/19/2012,New York,54.1
4/19/2012,San Francisco,55.1
4/19/2012,Austin,67.9
4/20/2012,New York,56.5
4/20/2012,San Francisco,55.8
4/20/2012,Austin,68.9
4/21/2012,New York,58.2
4/21/2012,San Francisco,58
4/21/2012,Austin,65.1
4/22/2012,New York,52.4
4/22/2012,San Francisco,52.8
4/22/2012,Austin,65.4
4/23/2012,New York,51.6
4/23/2012,San Francisco,55.1
4/23/2012,Austin,70.1
4/24/2012,New York,49.3
4/24/2012,San Francisco,57.9
4/24/2012,Austin,67
4/25/2012,New York,52.5
4/25/2012,San Francisco,57.5
4/25/2012,Austin,75.4
4/26/2012,New York,50.5
4/26/2012,San Francisco,55.3
4/26/2012,Austin,77.5
4/27/2012,New York,51.9
4/27/2012,San Francisco,53.5
4/27/2012,Austin,77
4/28/2012,New York,47.4
4/28/2012,San Francisco,54.7
4/28/2012,Austin,77.7
4/29/2012,New York,54.1
4/29/2012,San Francisco,54
4/29/2012,Austin,77.7
4/30/2012,New York,51.9
4/30/2012,San Francisco,53.4
4/30/2012,Austin,77.7
5/1/2012,New York,57.4
5/1/2012,San Francisco,52.7
5/1/2012,Austin,77
5/2/2012,New York,53.7
5/2/2012,San Francisco,50.7
5/2/2012,Austin,77.9
5/3/2012,New York,53.1
5/3/2012,San Francisco,52.6
5/3/2012,Austin,79.1
5/4/2012,New York,57.2
5/4/2012,San Francisco,53.4
5/4/2012,Austin,80.1
5/5/2012,New York,57
5/5/2012,San Francisco,53.1
5/5/2012,Austin,82.1
5/6/2012,New York,56.6
5/6/2012,San Francisco,56.5
5/6/2012,Austin,79
5/7/2012,New York,54.6
5/7/2012,San Francisco,55.3
5/7/2012,Austin,79.8
5/8/2012,New York,57.9
5/8/2012,San Francisco,52
5/8/2012,Austin,70
5/9/2012,New York,59.2
5/9/2012,San Francisco,52.4
5/9/2012,Austin,69.8
5/10/2012,New York,61.1
5/10/2012,San Francisco,53.4
5/10/2012,Austin,71.3
5/11/2012,New York,59.7
5/11/2012,San Francisco,53.1
5/11/2012,Austin,69.4
5/12/2012,New York,64.1
5/12/2012,San Francisco,49.9
5/12/2012,Austin,72
5/13/2012,New York,65.3
5/13/2012,San Francisco,52
5/13/2012,Austin,72.4
5/14/2012,New York,64.2
5/14/2012,San Francisco,56
5/14/2012,Austin,72.5
5/15/2012,New York,62
5/15/2012,San Francisco,53
5/15/2012,Austin,67.6
5/16/2012,New York,63.8
5/16/2012,San Francisco,51
5/16/2012,Austin,69
5/17/2012,New York,64.5
5/17/2012,San Francisco,51.4
5/17/2012,Austin,72.7
5/18/2012,New York,61
5/18/2012,San Francisco,52.2
5/18/2012,Austin,73.7
5/19/2012,New York,62.6
5/19/2012,San Francisco,52.4
5/19/2012,Austin,77.5
5/20/2012,New York,66.2
5/20/2012,San Francisco,54.5
5/20/2012,Austin,75.8
5/21/2012,New York,62.7
5/21/2012,San Francisco,52.8
5/21/2012,Austin,76.9
5/22/2012,New York,63.7
5/22/2012,San Francisco,53.9
5/22/2012,Austin,78.8
5/23/2012,New York,66.4
5/23/2012,San Francisco,56.5
5/23/2012,Austin,77.7
5/24/2012,New York,64.5
5/24/2012,San Francisco,54.7
5/24/2012,Austin,80.6
5/25/2012,New York,65.4
5/25/2012,San Francisco,52.5
5/25/2012,Austin,81.4
5/26/2012,New York,69.4
5/26/2012,San Francisco,52.1
5/26/2012,Austin,82.3
5/27/2012,New York,71.9
5/27/2012,San Francisco,52.2
5/27/2012,Austin,80.3
5/28/2012,New York,74.4
5/28/2012,San Francisco,52.9
5/28/2012,Austin,80.3
5/29/2012,New York,75.9
5/29/2012,San Francisco,52.1
5/29/2012,Austin,82.2
5/30/2012,New York,72.9
5/30/2012,San Francisco,52.1
5/30/2012,Austin,81.9
5/31/2012,New York,72.5
5/31/2012,San Francisco,53.3
5/31/2012,Austin,82.4
6/1/2012,New York,67.2
6/1/2012,San Francisco,54.8
6/1/2012,Austin,77.9
6/2/2012,New York,68.3
6/2/2012,San Francisco,54
6/2/2012,Austin,81.1
6/3/2012,New York,67.7
6/3/2012,San Francisco,52.3
6/3/2012,Austin,82.2
6/4/2012,New York,61.9
6/4/2012,San Francisco,55.3
6/4/2012,Austin,81.2
6/5/2012,New York,58.3
6/5/2012,San Francisco,53.5
6/5/2012,Austin,83
6/6/2012,New York,61.7
6/6/2012,San Francisco,54.1
6/6/2012,Austin,83.2
6/7/2012,New York,66.7
6/7/2012,San Francisco,53.9
6/7/2012,Austin,82.1
6/8/2012,New York,68.7
6/8/2012,San Francisco,54.4
6/8/2012,Austin,77.5
6/9/2012,New York,72.2
6/9/2012,San Francisco,55
6/9/2012,Austin,77.9
6/10/2012,New York,72.6
6/10/2012,San Francisco,60
6/10/2012,Austin,82.9
6/11/2012,New York,69.2
6/11/2012,San Francisco,57.2
6/11/2012,Austin,86.8
6/12/2012,New York,66.9
6/12/2012,San Francisco,55.1
6/12/2012,Austin,85.3
6/13/2012,New York,66.7
6/13/2012,San Francisco,53.3
6/13/2012,Austin,76.9
6/14/2012,New York,67.7
6/14/2012,San Francisco,53.4
6/14/2012,Austin,84.5
6/15/2012,New York,68.5
6/15/2012,San Francisco,54.6
6/15/2012,Austin,84.4
6/16/2012,New York,67.5
6/16/2012,San Francisco,57
6/16/2012,Austin,83.8
6/17/2012,New York,64.2
6/17/2012,San Francisco,55.6
6/17/2012,Austin,82.5
6/18/2012,New York,61.7
6/18/2012,San Francisco,52.5
6/18/2012,Austin,82.9
6/19/2012,New York,66.4
6/19/2012,San Francisco,53.9
6/19/2012,Austin,82.5
6/20/2012,New York,77.9
6/20/2012,San Francisco,55.3
6/20/2012,Austin,81.3
6/21/2012,New York,88.3
6/21/2012,San Francisco,53.3
6/21/2012,Austin,80.8
6/22/2012,New York,82.2
6/22/2012,San Francisco,54.1
6/22/2012,Austin,81.7
6/23/2012,New York,77
6/23/2012,San Francisco,55.2
6/23/2012,Austin,83.9
6/24/2012,New York,75.4
6/24/2012,San Francisco,55.8
6/24/2012,Austin,85.5
6/25/2012,New York,70.9
6/25/2012,San Francisco,56.8
6/25/2012,Austin,87.2
6/26/2012,New York,65.9
6/26/2012,San Francisco,57.5
6/26/2012,Austin,88
6/27/2012,New York,73.5
6/27/2012,San Francisco,57.7
6/27/2012,Austin,89.6
6/28/2012,New York,77.4
